Vending ID,Transaction Date,Product Name,Product Type,Product UPC,Qty,Vending Location,Cost
"0000000000","Mon May 06 19:05:15 EDT 2013","Blazin' Buffalo Doritos","CHIPS","7890123456","1","10","100"
"0000000000","Mon May 06 19:05:15 EDT 2013","Cool Ranch Doritos","CHIPS","6789012345","1","20","100"
"0000000000","Mon May 06 19:05:15 EDT 2013","Blazin' Buffalo Doritos","CHIPS","7890123456","1","12","100"
"0000000000","Mon May 06 19:05:15 EDT 2013","Mountain Dew Code Red","SODA","5678901234","1","64","100"
"0000000000","Mon May 06 19:05:15 EDT 2013","Garden Salsa Sun Chips","CHIPS","3420987659","2","54","200"
"0000000000","Mon May 06 19:05:15 EDT 2013","Cool Ranch Doritos","CHIPS","6789012345","1","32","100"
"0000000000","Mon May 06 19:05:46 EDT 2013","Diet Mountain Dew","SODA","4567890123","1","34","150"
"0000000000","Mon May 06 19:05:52 EDT 2013","Cool Ranch Doritos","CHIPS","6789012345","1","32","100"
"0000000000","Mon May 06 19:06:01 EDT 2013","Garden Salsa Sun Chips","CHIPS","3420987659","1","52","100"
"0000000000","Mon May 06 19:06:12 EDT 2013","Mountain Dew Code Red","SODA","5678901234","1","63","100"
"0000000000","Mon May 06 19:06:18 EDT 2013","Pepsi Throwback","SODA","2345678901","1","80","200"
"0000000000","Mon May 06 19:06:24 EDT 2013","Pepsi Throwback","SODA","2345678901","1","84","200"
"0000000000","Mon May 06 19:06:30 EDT 2013","Nacho Cheese Doritos","CHIPS","1111111111","1","73","100"
"0000000000","Mon May 06 19:06:49 EDT 2013","Pepsi Throwback","SODA","2345678901","1","80","200"
"0000000000","Mon May 06 19:06:49 EDT 2013","Blazin' Buffalo Doritos","CHIPS","7890123456","1","12","100"
"0000000000","Mon May 06 19:06:49 EDT 2013","Cool Ranch Doritos","CHIPS","6789012345","3","30","300"
"0000000000","Mon May 06 19:07:01 EDT 2013","Garden Salsa Sun Chips","CHIPS","3420987659","1","52","100"
"0000000000","Mon May 06 19:07:07 EDT 2013","Diet Pepsi","SODA","3456789012","1","44","150"
"0000000000","Mon May 06 19:07:19 EDT 2013","Pepsi Throwback","SODA","2345678901","1","80","200"
"0000000000","Mon May 06 19:07:27 EDT 2013","Blazin' Buffalo Doritos","CHIPS","7890123456","1","14","100"
"0000000000","Mon May 06 19:07:41 EDT 2013","Blazin' Buffalo Doritos","CHIPS","7890123456","1","14","100"
"0000000006","Mon May 06 19:17:56 EDT 2013","Pepsi Throwback","SODA","2345678901","7","84","1400"
"0000000000","Fri Sep 13 15:11:44 EDT 2019","Blazin' Buffalo Doritos","CHIPS","7890123456","1","10","100"
"0000000000","Fri Sep 13 15:11:44 EDT 2019","Diet Pepsi","SODA","3456789012","1","41","150"
"0000000000","Fri Sep 13 15:11:44 EDT 2019","Diet Pepsi","SODA","3456789012","1","44","150"
"0000000000","Fri Sep 13 15:11:44 EDT 2019","Nacho Cheese Doritos","CHIPS","1111111111","1","72","100"
"0000000000","Fri Sep 13 15:11:44 EDT 2019","Pepsi Throwback","SODA","2345678901","1","80","200"
